                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4998,                 2.8718,                 2.2605,                0.85658,                0.29882,                0.40339,                0.18267,                 1.5264,                 2.3765,                 1.6177,                      0,                      0,                      0
                      2,                 2.3582,                 2.9227,                 2.1838,                0.84519,                    0.3,                0.40256,                0.18226,                 1.5314,                 2.3742,                 1.6203,              1.934e-05,              1.934e-05,              1.934e-05
                      3,                 2.5149,                  2.902,                 2.2342,                0.76015,                    0.3,                0.39946,                0.18098,                 1.5355,                 2.3737,                 1.6214,              3.736e-05,              3.736e-05,              3.736e-05
                      4,                 2.4928,                  2.779,                 2.2039,                0.73093,                    0.3,                0.39681,                0.17982,                 1.5409,                 2.3711,                 1.6209,              5.406e-05,              5.406e-05,              5.406e-05
                      5,                  2.286,                 2.6465,                 2.1914,                0.72696,                    0.3,                0.39477,                0.17893,                  1.543,                 2.3674,                 1.6221,              6.944e-05,              6.944e-05,              6.944e-05
                      6,                 2.4782,                 2.9289,                 2.1532,                0.69193,                    0.3,                0.39649,                0.17978,                 1.5496,                 2.3684,                 1.6232,               8.35e-05,               8.35e-05,               8.35e-05
                      7,                 2.3254,                 2.6939,                 2.1994,                0.99692,                   0.95,                0.96167,                0.56456,                 1.4342,                0.67279,                 1.5126,              9.624e-05,              9.624e-05,              9.624e-05
                      8,                 2.2877,                 2.1246,                  2.096,                0.99588,                      1,                  0.995,                0.65151,                 1.3052,                0.86056,                 1.3787,             0.00010766,             0.00010766,             0.00010766
                      9,                 1.9469,                 1.4782,                  1.749,                0.99811,                      1,                  0.995,                0.66806,                 1.2106,                0.91777,                 1.2765,             0.00011776,             0.00011776,             0.00011776
                     10,                 1.7816,                 1.2635,                 1.7757,                      1,                0.99616,                  0.995,                0.69433,                 1.1406,                0.76915,                 1.2558,             0.00012654,             0.00012654,             0.00012654
                     11,                 1.6897,                  1.138,                 1.5673,                 0.9476,                   0.95,                 0.9753,                0.68013,                 1.1263,                0.82486,                 1.2287,               0.000134,               0.000134,               0.000134
                     12,                 1.6126,                0.99524,                  1.518,                0.92714,                    0.7,                0.86156,                0.61069,                 1.1107,                 1.2157,                 1.1959,             0.00014014,             0.00014014,             0.00014014
                     13,                 1.4613,                0.97881,                  1.471,                0.99031,                    0.7,                0.81385,                0.58251,                 1.1131,                 1.4133,                 1.1878,             0.00014496,             0.00014496,             0.00014496
                     14,                 1.4467,                0.96028,                 1.5021,                0.90414,                    0.7,                0.81585,                0.59253,                 1.1343,                 1.4817,                 1.2008,             0.00014846,             0.00014846,             0.00014846
                     15,                 1.3265,                 0.9006,                 1.3234,                0.91461,                    0.7,                0.82412,                0.58616,                 1.1565,                 1.3865,                 1.2069,             0.00015064,             0.00015064,             0.00015064
                     16,                  1.282,                 0.8189,                 1.3238,                0.89682,                    0.7,                0.85999,                0.61762,                 1.1766,                 1.7969,                 1.2144,              0.0001515,              0.0001515,              0.0001515
                     17,                 1.2954,                0.78678,                 1.2504,                 0.9515,                    0.8,                0.94816,                0.61248,                 1.2208,                  1.769,                 1.2335,             0.00015104,             0.00015104,             0.00015104
                     18,                 1.2656,                0.78569,                 1.2775,                 0.9515,                    0.8,                0.94816,                0.61248,                 1.2208,                  1.769,                 1.2335,             0.00014926,             0.00014926,             0.00014926
                     19,                 1.2957,                 0.7819,                 1.3678,                0.98326,                    0.9,                0.97357,                 0.6403,                 1.2297,                 1.2921,                 1.2358,             0.00014616,             0.00014616,             0.00014616
                     20,                 1.1887,                0.73571,                 1.2454,                0.98326,                    0.9,                0.97357,                 0.6403,                 1.2297,                 1.2921,                 1.2358,             0.00014174,             0.00014174,             0.00014174
                     21,                 1.2744,                0.86264,                 1.2705,                      1,                0.94254,                0.99262,                0.63374,                 1.2363,                0.96834,                  1.228,               0.000136,               0.000136,               0.000136
                     22,                 1.2093,                0.87761,                 1.3772,                      1,                0.94254,                0.99262,                0.63374,                 1.2363,                0.96834,                  1.228,             0.00012894,             0.00012894,             0.00012894
